,Rank,Team,2020,Last 3,Last 1,Home,Away,2019
0,1,Portland,10.9%,10.8%,13.8%,11.2%,10.6%,12.4%
1,2,San Antonio,11.0%,10.9%,8.0%,11.6%,10.5%,12.1%
2,3,Dallas,12.0%,11.0%,15.5%,12.9%,11.2%,12.3%
3,4,Phoenix,12.4%,9.2%,7.6%,12.7%,12.1%,14.1%
4,5,Orlando,12.6%,14.4%,16.1%,13.2%,12.0%,12.7%
5,6,Memphis,12.7%,11.4%,9.0%,12.4%,13.0%,14.4%
6,7,Indiana,12.8%,13.1%,13.1%,12.8%,12.8%,13.0%
7,8,Toronto,12.9%,11.4%,11.3%,13.2%,12.6%,13.9%
8,9,Sacramento,13.0%,10.9%,12.5%,13.1%,12.8%,14.1%
9,10,New York,13.0%,10.5%,11.5%,12.4%,13.5%,14.0%
10,11,Atlanta,13.0%,10.9%,12.3%,13.1%,13.0%,15.0%
11,12,Brooklyn,13.1%,11.0%,11.8%,13.7%,12.5%,14.4%
12,13,Milwaukee,13.1%,10.9%,11.4%,13.6%,12.6%,14.0%
13,14,LA Clippers,13.2%,11.2%,3.0%,13.2%,13.2%,13.7%
14,15,Denver,13.3%,10.8%,5.9%,13.0%,13.7%,13.7%
15,16,Washington,13.3%,13.7%,13.1%,13.0%,13.7%,13.3%
16,17,Minnesota,13.5%,12.2%,9.7%,13.8%,13.2%,14.2%
17,18,Boston,13.7%,12.3%,10.3%,14.5%,12.9%,13.4%
18,19,Utah,13.9%,13.2%,15.4%,14.3%,13.5%,14.6%
19,20,Philadelphia,13.9%,11.4%,11.4%,14.1%,13.8%,13.8%
20,21,New Orleans,14.0%,13.6%,20.4%,13.7%,14.4%,15.2%
21,22,Miami,14.1%,14.5%,11.7%,14.8%,13.4%,14.2%
22,23,Houston,14.1%,14.9%,15.2%,13.9%,14.3%,13.6%
23,24,Golden State,14.3%,16.8%,19.6%,14.4%,14.3%,14.3%
24,25,Charlotte,14.6%,10.8%,12.2%,14.7%,14.4%,14.6%
25,26,Detroit,14.7%,17.5%,15.6%,15.0%,14.3%,15.0%
26,27,Chicago,14.8%,14.6%,15.1%,14.7%,14.9%,15.0%
27,28,LA Lakers,14.8%,11.6%,12.7%,15.3%,14.3%,14.7%
28,29,Cleveland,15.3%,15.9%,15.7%,15.8%,14.7%,16.1%
29,30,Okla City,15.5%,16.4%,14.8%,15.8%,15.2%,13.6%
